batch_id,variant,weight_profile,psi_lambda,psi_threshold,scenario,profile,run_index,seed,event_observed,first_event_step,detect_step,lead_steps,psi_score,non_regime_score,term_t,term_d,term_g,term_s,term_regime,term_variance,regime_share_of_score,collapse_share_at_detect,s_network_at_detect,cluster_variance_at_detect,regime_weight_at_detect
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,5,8415,1,27,17,10,0.305642,0.290642,0.087579,0.035486,0.094194,0.072548,0.015,0.000835,0.049077,0.0,0.637262,0.008349,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,6,8416,1,23,15,8,0.304666,0.289666,0.086789,0.03886,0.092239,0.071256,0.015,0.000522,0.049234,0.0,0.643718,0.005218,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,7,8417,1,23,15,8,0.307683,0.292683,0.091122,0.038822,0.095193,0.067052,0.015,0.000493,0.048751,0.0,0.664741,0.004932,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,8,8418,1,26,17,9,0.30965,0.29465,0.087365,0.037294,0.095359,0.073829,0.015,0.000804,0.048442,0.0,0.630856,0.008036,0.15
grand_sim_v0_4,with_regime_original,v02_default,0.1,0.3,psi_corruption,high_stress,9,8419,1,25,17,8,0.308577,0.293577,0.091041,0.035691,0.096919,0.069325,0.015,0.000602,0.04861,0.0,0.653376,0.006018,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,0,8320,1,31,0,31,0.221301,0.221301,0.054729,0.0463,0.078217,0.041987,0.0,6.8e-05,0.0,0.0,0.790067,0.000684,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,1,8321,1,32,0,32,0.221404,0.221404,0.053379,0.045956,0.078217,0.043776,0.0,7.7e-05,0.0,0.0,0.78112,0.000765,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,2,8322,1,29,0,29,0.223149,0.223149,0.055406,0.046461,0.078217,0.042993,0.0,7.3e-05,0.0,0.0,0.785037,0.000727,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,3,8323,1,31,0,31,0.223007,0.223007,0.055587,0.046409,0.078217,0.042706,0.0,8.8e-05,0.0,0.0,0.786472,0.000882,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,4,8324,1,31,0,31,0.224004,0.224004,0.056089,0.046752,0.078217,0.042861,0.0,8.6e-05,0.0,0.0,0.785696,0.000858,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,5,8325,1,32,0,32,0.220036,0.220036,0.054148,0.045446,0.078217,0.042143,0.0,8.2e-05,0.0,0.0,0.789286,0.000818,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,6,8326,1,32,0,32,0.224215,0.224215,0.056733,0.046723,0.078217,0.042473,0.0,6.9e-05,0.0,0.0,0.787635,0.000688,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,7,8327,1,33,0,33,0.220697,0.220697,0.054886,0.045819,0.078217,0.041707,0.0,6.7e-05,0.0,0.0,0.791465,0.000671,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,8,8328,1,31,0,31,0.221544,0.221544,0.054324,0.046689,0.078217,0.042242,0.0,7.3e-05,0.0,0.0,0.788791,0.000725,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,async_message_loss,high_stress,9,8329,1,32,0,32,0.222293,0.222293,0.054218,0.046976,0.078217,0.042806,0.0,7.6e-05,0.0,0.0,0.785972,0.000761,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,0,8350,1,25,0,25,0.222192,0.222192,0.055431,0.045499,0.078217,0.042982,0.0,6.3e-05,0.0,0.0,0.785091,0.000628,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,1,8351,1,24,0,24,0.221732,0.221732,0.054152,0.04662,0.078217,0.042668,0.0,7.6e-05,0.0,0.0,0.786661,0.000756,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,2,8352,1,24,0,24,0.222931,0.222931,0.055786,0.046418,0.078217,0.042438,0.0,7.2e-05,0.0,0.0,0.787809,0.00072,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,3,8353,1,26,8,18,0.222196,0.222196,0.058483,0.039585,0.076277,0.047774,0.0,7.8e-05,0.0,0.0,0.76113,0.000784,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,4,8354,1,26,0,26,0.220412,0.220412,0.05405,0.046576,0.078217,0.041484,0.0,8.5e-05,0.0,0.0,0.792582,0.000854,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,5,8355,1,23,0,23,0.22119,0.22119,0.055827,0.045132,0.078217,0.041945,0.0,6.8e-05,0.0,0.0,0.790276,0.00068,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,6,8356,1,24,0,24,0.221409,0.221409,0.05529,0.044901,0.078217,0.042916,0.0,8.5e-05,0.0,0.0,0.785422,0.000853,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,7,8357,1,25,0,25,0.224213,0.224213,0.055236,0.047651,0.078217,0.043025,0.0,8.4e-05,0.0,0.0,0.784875,0.00084,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,8,8358,1,23,0,23,0.222006,0.222006,0.055591,0.046178,0.078217,0.04196,0.0,5.9e-05,0.0,0.0,0.790201,0.000594,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_bridge_stress,high_stress,9,8359,1,27,8,19,0.220779,0.220779,0.058819,0.038411,0.076817,0.046612,0.0,0.000119,0.0,0.0,0.766939,0.001194,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,0,8360,1,98,77,21,0.224914,0.224914,0.036198,0.079347,0.0,0.108619,0.0,0.00075,0.0,0.0,0.456905,0.007496,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,1,8361,1,98,76,22,0.22125,0.22125,0.034886,0.078805,0.0,0.106812,0.0,0.000748,0.0,0.0,0.465942,0.007478,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,2,8362,1,98,78,20,0.226134,0.226134,0.03652,0.080771,0.0,0.107975,0.0,0.000868,0.0,0.0,0.460123,0.008675,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,3,8363,1,99,76,23,0.220448,0.220448,0.035107,0.079037,0.0,0.105531,0.0,0.000773,0.0,0.0,0.472345,0.007731,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,4,8364,1,98,79,19,0.221083,0.221083,0.036103,0.079077,0.0,0.105251,0.0,0.000652,0.0,0.0,0.473743,0.006518,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,5,8365,1,96,75,21,0.222106,0.222106,0.038195,0.079291,0.0,0.104039,0.0,0.000581,0.0,0.0,0.479806,0.005813,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,6,8366,1,99,77,22,0.225665,0.225665,0.036602,0.079225,0.0,0.109044,0.0,0.000794,0.0,0.0,0.454779,0.007939,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,7,8367,1,97,76,21,0.223029,0.223029,0.03655,0.079448,0.0,0.106347,0.0,0.000684,0.0,0.0,0.468265,0.006844,0.15
grand_sim_v0_4,no_regime_ablation,v02_default,0.1,0.22,federation_cluster_attack,low_stress,8,8368,1,92,76,16,0.224771,0.224771,0.037663,0.079216,0.0,0.107223,0.0,0.000669,0.0,0.0,0.463887,0.006693,0.15
