batch_id,variant,weight_profile,psi_lambda,psi_threshold,w_t,w_d,w_g,w_s,w_r,runs,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,median_lead_steps,min_lead_steps,max_lead_steps,avg_lag_steps,accepted_candidate,target_threshold_candidate,recommended_independent_candidate,recommended_strict_ablation_candidate
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.22,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,16.6125,15.0,8.0,26.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.24,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,13.575,12.0,7.0,23.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.26,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,11.2375,9.0,6.0,21.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.28,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,9.35,8.0,5.0,18.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.3,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,7.6375,7.0,3.0,16.0,0.0,1,1,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.32,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,1.0,0.0,0.0,4.925,4.0,0.0,11.0,0.0,1,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.34,0.2,0.35,0.15,0.2,0.0,120,80,40,1.0,0.525,0.0,0.0,3.02381,2.0,0.0,7.0,4.368421,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.36,0.2,0.35,0.15,0.2,0.0,120,80,40,0.75,0.5,0.25,0.0,2.125,1.0,0.0,6.0,6.3,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.38,0.2,0.35,0.15,0.2,0.0,120,80,40,0.75,0.45,0.25,0.0,1.25,1.0,0.0,4.0,9.166667,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.4,0.2,0.35,0.15,0.2,0.0,120,80,40,0.75,0.275,0.25,0.0,0.954545,0.0,0.0,3.0,9.236842,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.42,0.2,0.35,0.15,0.2,0.0,120,80,40,0.75,0.1375,0.25,0.0,0.909091,1.0,0.0,2.0,11.428571,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.44,0.2,0.35,0.15,0.2,0.0,120,80,40,0.75,0.075,0.25,0.0,0.333333,0.0,0.0,1.0,16.148148,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.46,0.2,0.35,0.15,0.2,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,3.55,0,0,0,0
grand_sim_v0_4,no_regime_ablation,disturbance_heavy,0.1,0.48,0.2,0.35,0.15,0.2,0.0,120,80,40,0.5,0.0,0.5,0.0,0.0,0.0,,,5.175,0,0,0,0
