run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
84,125,small-world,500,True,True,0.629,1.0,1.0,0,1,1.0,0.684,19,13,0.1,0.386,0.319,6,0,0.0,,0,0.386,0.315,0.386,100,0,,False,True,0.0,none,0,0,0
85,126,small-world,500,True,True,0.551,1.0,1.0,0,1,1.0,0.727,22,16,0.1,0.292,0.236,6,0,0.0,,0,0.287,0.233,0.287,100,0,,False,True,0.0,none,0,0,0
86,127,small-world,500,False,False,0.456,1.0,1.0,0,1,1.0,0.806,36,29,0.1,0.274,0.244,6,0,0.0,,0,0.27,0.237,0.27,100,0,,False,True,0.0,none,0,0,0
87,128,small-world,500,True,True,0.516,1.0,1.0,0,1,1.0,0.692,26,18,0.1,0.275,0.234,6,0,0.0,,0,0.275,0.234,0.275,100,0,,False,True,0.0,none,0,0,0
88,129,small-world,500,True,True,0.597,1.0,1.0,0,1,1.0,0.737,19,14,0.1,0.332,0.273,6,0,0.0,,0,0.329,0.266,0.329,100,0,,False,True,0.0,none,0,0,0
89,130,small-world,500,False,False,0.449,1.0,1.0,0,1,1.0,0.688,32,22,0.1,0.247,0.213,6,0,0.0,,0,0.247,0.213,0.247,100,0,,False,True,0.0,none,0,0,0
90,131,small-world,500,True,True,0.568,1.0,1.0,0,1,1.0,0.722,18,13,0.1,0.224,0.178,6,0,0.0,,0,0.224,0.178,0.224,100,0,,False,True,0.0,none,0,0,0
91,132,small-world,500,True,True,0.624,1.0,1.0,0,1,1.0,0.762,21,16,0.1,0.372,0.312,6,0,0.0,,0,0.358,0.298,0.358,100,0,,False,True,0.0,none,0,0,0
92,133,small-world,500,True,True,0.511,1.0,1.0,0,1,1.0,0.72,25,18,0.1,0.269,0.225,6,0,0.0,,0,0.268,0.225,0.268,100,0,,False,True,0.0,none,0,0,0
93,134,small-world,500,True,True,0.619,1.0,1.0,0,1,1.0,0.571,14,8,0.1,0.298,0.234,6,0,0.0,,0,0.298,0.234,0.298,100,0,,False,True,0.0,none,0,0,0
94,135,small-world,500,True,True,0.515,1.0,1.0,0,1,1.0,0.609,23,14,0.1,0.288,0.258,6,0,0.0,,0,0.288,0.258,0.288,100,0,,False,True,0.0,none,0,0,0
95,136,small-world,500,True,True,0.539,1.0,1.0,0,1,1.0,0.833,24,20,0.1,0.311,0.276,6,0,0.0,,0,0.309,0.272,0.309,100,0,,False,True,0.0,none,0,0,0
96,137,small-world,500,True,True,0.604,1.0,1.0,0,1,1.0,0.765,17,13,0.1,0.32,0.26,6,0,0.0,,0,0.317,0.258,0.317,100,0,,False,True,0.0,none,0,0,0
97,138,small-world,500,True,True,0.729,1.0,1.0,0,1,1.0,0.727,11,8,0.1,0.416,0.324,6,0,0.0,,0,0.412,0.313,0.412,100,0,,False,True,0.0,none,0,0,0
98,139,small-world,500,False,False,0.332,1.0,1.0,0,1,1.0,0.769,39,30,0.1,0.123,0.106,6,0,0.0,,0,0.123,0.106,0.123,100,0,,False,True,0.0,none,0,0,0
99,140,small-world,500,False,False,0.425,1.0,1.0,0,1,1.0,0.818,33,27,0.1,0.259,0.239,6,0,0.0,,0,0.258,0.239,0.258,100,0,,False,True,0.0,none,0,0,0
100,141,small-world,500,True,True,0.545,1.0,1.0,0,1,1.0,0.792,24,19,0.1,0.27,0.217,6,0,0.0,,0,0.263,0.209,0.263,100,0,,False,True,0.0,none,0,0,0
