config,hub_count,balanced,run_index,seed,hub1_final_stability,hub2_final_stability,hub3_final_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,final_cooperation,final_trust,collapsed
C,3,1,16,58,0.6198289019553417,0.6221179763890256,0.6191348339862398,0.5121637426900585,0.7543859649122807,0,,0.7376378991632938,0.7376378991632938,0
C,3,1,17,59,0.6215290207600036,0.6236323746018042,0.6177774744341286,0.43321637426900583,0.6842105263157895,0,,0.7384951521209658,0.7384951521209658,0
C,3,1,18,60,0.6213119472458337,0.620162190893209,0.619684894017235,0.4767251461988304,0.8245614035087719,0,,0.740261347186349,0.740261347186349,0
C,3,1,19,61,0.6206932652994764,0.6227904641216417,0.6189023974584348,0.45426900584795327,0.7017543859649122,0,,0.7386857662560868,0.7386857662560868,0
C,3,1,20,62,0.6222115419311113,0.6192166451594217,0.6203747624420236,0.4674853801169591,0.7192982456140351,0,,0.7358627971973849,0.7358627971973849,0
C,3,1,21,63,0.6210733307284404,0.6214658219725986,0.6184877686083644,0.47321637426900587,0.7192982456140351,0,,0.7385480795017967,0.7385480795017967,0
C,3,1,22,64,0.6216241330624672,0.6203929004119487,0.6216051947111502,0.4870175438596491,0.7192982456140351,0,,0.7410417247196117,0.7410417247196117,0
C,3,1,23,65,0.6199035501459261,0.6181427028721772,0.6195680515371541,0.4819883040935672,0.7017543859649122,0,,0.7385070821694962,0.7385070821694962,0
C,3,1,24,66,0.6220644222936529,0.6193248607217602,0.6205936826813582,0.5015204678362573,0.7543859649122807,0,,0.7399308491735797,0.7399308491735797,0
C,3,1,25,67,0.6216159040813016,0.6197293849599753,0.6207462344950141,0.4745029239766082,0.7368421052631579,0,,0.7383815105111755,0.7383815105111755,0
C,3,1,26,68,0.6226380234156675,0.6228733708489348,0.6183024430072116,0.48690058479532167,0.7543859649122807,0,,0.7393229436588633,0.7393229436588633,0
C,3,1,27,69,0.6199263505134807,0.6197850681005658,0.6173548247389065,0.45941520467836255,0.7017543859649122,0,,0.7365722552350448,0.7365722552350448,0
C,3,1,28,70,0.6209953774744312,0.6211786501224319,0.6201547967721949,0.49415204678362573,0.7192982456140351,0,,0.7381753686121112,0.7381753686121112,0
C,3,1,29,71,0.6184162555088267,0.6198448807023978,0.6209735942189831,0.4485380116959064,0.7368421052631579,0,,0.7375544519856182,0.7375544519856182,0
D,2,0,0,42,0.609696330445353,0.6086474167881041,,0.9373563218390805,1.0,1,11,0.6279857404619891,0.6279857404619891,1
D,2,0,1,43,0.6101756999738943,0.609871931274059,,0.9362068965517242,1.0,1,11,0.6312618092365978,0.6312618092365978,1
D,2,0,2,44,0.6102454715511573,0.6053488557410687,,0.9363218390804597,1.0,1,11,0.6283700667418906,0.6283700667418906,1
D,2,0,3,45,0.6098800036059628,0.6062491155464064,,0.9372413793103448,1.0,1,11,0.6276088873641729,0.6276088873641729,1
D,2,0,4,46,0.6063666044823874,0.6094502202611487,,0.9402298850574713,1.0,1,10,0.6223488971026767,0.6223488971026767,1
D,2,0,5,47,0.6073851031884935,0.6056491437906203,,0.9367816091954023,1.0,1,11,0.6250557729402333,0.6250557729402333,1
D,2,0,6,48,0.6089099393703785,0.6066306869895768,,0.9379310344827585,1.0,1,11,0.6255281438146002,0.6255281438146002,1
D,2,0,7,49,0.6091456233974977,0.6067769269847916,,0.937816091954023,1.0,1,11,0.6270931990571855,0.6270931990571855,1
D,2,0,8,50,0.6096713822225024,0.6084950300644019,,0.9380459770114942,1.0,1,10,0.626746951184284,0.626746951184284,1
