D_hub_cap,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.3,0,42,0.4037059471564422,0.3702813666210936,0.207683615819209,0.559322033898305,0,,0,0.8903978899335387,0.8903978899335387,0
0.3,1,43,0.9913946206198442,0.8876118212498104,0.9536723163841808,1.0,1,10,140,0.103263499581121,0.103263499581121,1
0.3,2,44,0.9936686588400401,0.8771052629475248,0.9532203389830509,1.0,1,10,140,0.10024478391341528,0.10024478391341528,1
0.3,3,45,0.9648596307376258,0.903111290885096,0.9532203389830509,1.0,1,10,140,0.1075968470142237,0.1075968470142237,1
0.3,4,46,0.9899402683816438,0.9010441656539069,0.9531073446327685,1.0,1,10,140,0.09776704734467212,0.09776704734467212,1
0.3,5,47,0.42830483805461345,0.34488905507268774,0.1750282485875707,0.4915254237288136,0,,0,0.8888733864061584,0.8888733864061584,0
0.3,6,48,0.9737697479134922,0.8921611865650613,0.952542372881356,1.0,1,10,140,0.09698274435367404,0.09698274435367404,1
0.3,7,49,0.44394244423690504,0.3412386554143788,0.18,0.3898305084745763,0,,0,0.8872193755589199,0.8872193755589199,0
0.3,8,50,0.9930867310864322,0.8893125944481755,0.9532203389830507,1.0,1,9,141,0.08719081331879878,0.08719081331879878,1
0.3,9,51,0.9995065005642203,0.9011278137479497,0.9517514124293786,1.0,1,11,139,0.09169330495083497,0.09169330495083497,1
0.3,10,52,0.9842004455444904,0.89202137136472,0.951412429378531,1.0,1,11,139,0.10013162001764551,0.10013162001764551,1
0.3,11,53,0.9888775180926491,0.8346286369349787,0.9458757062146894,1.0,1,13,137,0.09695619292002096,0.09695619292002096,1
0.3,12,54,0.9800503583790939,0.8817323468460745,0.9491525423728814,1.0,1,12,138,0.09943694454419585,0.09943694454419585,1
0.3,13,55,0.4739080993958125,0.34543692716429675,0.16248587570621478,0.3728813559322034,0,,0,0.8963587631486837,0.8963587631486837,0
0.3,14,56,0.9887219790137303,0.8889267079840655,0.9501694915254237,1.0,1,11,139,0.09978903388762064,0.09978903388762064,1
