k_D_value,run_index,seed,hub_final_stability,hub_min_stability,peripheral_failure_rate,peripheral_failure_peak,sustained_ignition_observed,ignition_onset_step,ignition_duration_steps,final_cooperation,final_trust,collapsed
0.07,8,50,0.3749576084632731,0.26953413928008163,0.1689265536723165,0.6610169491525424,0,,0,0.9340587856506738,0.9340587856506738,0
0.07,9,51,0.882934411751522,0.7742755915498224,0.9535593220338983,1.0,1,10,140,0.11684662683088494,0.11684662683088494,1
0.07,10,52,0.3449049743431012,0.29980474656551787,0.16327683615819222,0.4915254237288136,0,,0,0.9366284699894823,0.9366284699894823,0
0.07,11,53,0.35933049488853597,0.2691920956503615,0.14146892655367246,0.3898305084745763,0,,0,0.9395707050562242,0.9395707050562242,0
0.07,12,54,0.37819863276837995,0.2541816438475547,0.13661016949152557,0.4406779661016949,0,,0,0.9252125405781303,0.9252125405781303,0
0.07,13,55,0.3529909079201895,0.27018201110522144,0.12451977401129959,0.3220338983050847,0,,0,0.9369625981884414,0.9369625981884414,0
0.07,14,56,0.8682242231726618,0.7718299369594634,0.9505084745762713,1.0,1,11,139,0.13958479390262862,0.13958479390262862,1
0.07,15,57,0.33465014919215613,0.2738984382450638,0.11875706214689276,0.3050847457627119,0,,0,0.9398704302067628,0.9398704302067628,0
0.07,16,58,0.867679400103214,0.7393661262888279,0.9540112994350284,1.0,1,10,140,0.13473226739694893,0.13473226739694893,1
0.07,17,59,0.36285627924419067,0.27108856602390885,0.14090395480225998,0.4067796610169492,0,,0,0.9161248340495032,0.9161248340495032,0
0.07,18,60,0.8670471462192915,0.7873026458204384,0.955593220338983,1.0,1,10,140,0.14117164948306204,0.14117164948306204,1
0.07,19,61,0.8572171484803157,0.7736113291953564,0.9552542372881356,1.0,1,10,140,0.1327469031920904,0.1327469031920904,1
0.07,20,62,0.8880827298493769,0.7852295487892068,0.9561581920903954,1.0,1,10,140,0.13198057174576755,0.13198057174576755,1
0.07,21,63,0.35872592462259284,0.2943626898837438,0.1451977401129944,0.3559322033898305,0,,0,0.9157245626773362,0.9157245626773362,0
0.07,22,64,0.35680190020207586,0.25298302851490806,0.1340112994350283,0.423728813559322,0,,0,0.9232546748513794,0.9232546748513794,0
0.07,23,65,0.8390957457076376,0.7687193965507074,0.9520903954802259,1.0,1,11,139,0.13756052046271125,0.13756052046271125,1
0.07,24,66,0.3595462752398037,0.28829670407041563,0.1587570621468928,0.4576271186440678,0,,0,0.9174452138825484,0.9174452138825484,0
0.07,25,67,0.32496017620215994,0.2474365370936101,0.1376271186440678,0.3050847457627119,0,,0,0.9190470814810427,0.9190470814810427,0
0.07,26,68,0.9078070320957157,0.7773878497320171,0.9538983050847457,1.0,1,10,140,0.11003232285546204,0.11003232285546204,1
0.07,27,69,0.34469767123288847,0.26805593145516105,0.1597740112994351,0.423728813559322,0,,0,0.9374898929799489,0.9374898929799489,0
0.07,28,70,0.32875280638476345,0.246134210908473,0.14926553672316378,0.3389830508474576,0,,0,0.909942495500165,0.909942495500165,0
0.07,29,71,0.8551622568547335,0.7353277622302453,0.9516384180790961,1.0,1,10,140,0.12058360465561616,0.12058360465561616,1
0.09,0,42,0.3334613509732306,0.282434343960779,0.20203389830508467,0.4745762711864407,0,,0,0.9157116510983363,0.9157116510983363,0
