scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,psi_extended,psi_term_regime,psi_term_t,psi_term_d,psi_term_g,psi_term_s,psi_term_variance,collapse_share,S_network,cluster_variance,max_cluster_collapse_share,trigger_A,trigger_A_source,message_loss,phase_divergence
federation_cluster_attack,low_stress,0,9330,96,80,99,19,0.397735,0.0,0.055632,0.064644,0.0,0.27665,0.00081,0.233333,0.209572,0.008098,0.7,1,C07_PSI_EXTENDED,0.03,0.232671
federation_cluster_attack,low_stress,0,9330,97,80,99,19,0.399038,0.0,0.056783,0.06438,0.0,0.277244,0.00063,0.266667,0.207874,0.006304,0.8,1,C07_PSI_EXTENDED,0.03,0.25183
federation_cluster_attack,low_stress,0,9330,98,80,99,19,0.399897,0.0,0.057702,0.064087,0.0,0.277488,0.000619,0.283333,0.207176,0.006191,0.85,1,C07_PSI_EXTENDED,0.03,0.231341
federation_cluster_attack,low_stress,0,9330,99,80,99,19,0.400178,0.0,0.05819,0.063931,0.0,0.277514,0.000544,0.3,0.207102,0.005436,0.9,1,C07_PSI_EXTENDED,0.03,0.236274
federation_cluster_attack,low_stress,0,9330,100,80,99,19,0.401201,0.0,0.059391,0.06387,0.0,0.277541,0.000399,0.333333,0.207026,0.003987,1.0,1,C07_PSI_EXTENDED,0.03,0.248824
federation_cluster_attack,low_stress,0,9330,101,80,99,19,0.401983,0.0,0.059634,0.06444,0.0,0.277551,0.000358,0.333333,0.206999,0.003581,1.0,1,C07_PSI_EXTENDED,0.03,0.235358
federation_cluster_attack,low_stress,0,9330,102,80,99,19,0.402429,0.0,0.060116,0.06445,0.0,0.277558,0.000304,0.333333,0.206977,0.003045,1.0,1,C07_PSI_EXTENDED,0.03,0.232671
federation_cluster_attack,mid_stress,0,9340,52,55,67,12,0.248626,0.0,0.026773,0.058631,0.0,0.162669,0.000553,0.0,0.535231,0.005531,0.0,0,,0.06,0.219057
federation_cluster_attack,mid_stress,0,9340,53,55,67,12,0.26626,0.0,0.029924,0.058753,0.0,0.176782,0.000801,0.0,0.494907,0.008005,0.0,0,,0.06,0.26086
federation_cluster_attack,mid_stress,0,9340,54,55,67,12,0.285293,0.0,0.033646,0.058735,0.0,0.191889,0.001022,0.016667,0.451746,0.010223,0.05,0,,0.06,0.223797
federation_cluster_attack,mid_stress,0,9340,55,55,67,12,0.305699,0.0,0.038193,0.058832,0.0,0.207527,0.001147,0.116667,0.407067,0.011473,0.35,1,C07_PSI_EXTENDED,0.06,0.209993
federation_cluster_attack,mid_stress,0,9340,56,55,67,12,0.32643,0.0,0.041803,0.058958,0.0,0.224036,0.001633,0.2,0.359897,0.016326,0.6,1,C07_PSI_EXTENDED,0.06,0.265783
federation_cluster_attack,mid_stress,0,9340,57,55,67,12,0.348486,0.0,0.046454,0.05913,0.0,0.24097,0.001932,0.2,0.311514,0.019324,0.6,1,C07_PSI_EXTENDED,0.06,0.213202
federation_cluster_attack,mid_stress,0,9340,58,55,67,12,0.3682,0.0,0.050487,0.059095,0.0,0.256617,0.002001,0.2,0.266807,0.020013,0.6,1,C07_PSI_EXTENDED,0.06,0.219057
federation_cluster_attack,mid_stress,0,9340,59,55,67,12,0.371778,0.0,0.051836,0.059076,0.0,0.258867,0.001999,0.2,0.260381,0.019994,0.6,1,C07_PSI_EXTENDED,0.06,0.26086
federation_cluster_attack,mid_stress,0,9340,60,55,67,12,0.375075,0.0,0.052909,0.059279,0.0,0.261176,0.001711,0.2,0.253782,0.01711,0.6,1,C07_PSI_EXTENDED,0.06,0.223797
federation_cluster_attack,mid_stress,0,9340,61,55,67,12,0.378874,0.0,0.054716,0.059217,0.0,0.263682,0.001259,0.233333,0.246624,0.012587,0.7,1,C07_PSI_EXTENDED,0.06,0.209993
federation_cluster_attack,mid_stress,0,9340,62,55,67,12,0.381442,0.0,0.055081,0.059146,0.0,0.265985,0.001231,0.25,0.240044,0.012309,0.75,1,C07_PSI_EXTENDED,0.06,0.265783
federation_cluster_attack,mid_stress,0,9340,63,55,67,12,0.385023,0.0,0.056619,0.05896,0.0,0.268451,0.000993,0.25,0.232997,0.009929,0.75,1,C07_PSI_EXTENDED,0.06,0.213202
federation_cluster_attack,mid_stress,0,9340,64,55,67,12,0.387911,0.0,0.058176,0.058586,0.0,0.270486,0.000663,0.25,0.227182,0.006634,0.75,1,C07_PSI_EXTENDED,0.06,0.219057
federation_cluster_attack,mid_stress,0,9340,65,55,67,12,0.391399,0.0,0.058871,0.058506,0.0,0.273337,0.000685,0.25,0.219037,0.006849,0.75,1,C07_PSI_EXTENDED,0.06,0.26086
federation_cluster_attack,mid_stress,0,9340,66,55,67,12,0.395639,0.0,0.059896,0.058423,0.0,0.276792,0.000528,0.283333,0.209164,0.005278,0.85,1,C07_PSI_EXTENDED,0.06,0.223797
federation_cluster_attack,mid_stress,0,9340,67,55,67,12,0.398962,0.0,0.061201,0.058503,0.0,0.278984,0.000274,0.333333,0.202903,0.002738,1.0,1,C07_PSI_EXTENDED,0.06,0.209993
federation_cluster_attack,mid_stress,0,9340,68,55,67,12,0.401216,0.0,0.061201,0.058588,0.0,0.281153,0.000274,0.333333,0.196705,0.002738,1.0,1,C07_PSI_EXTENDED,0.06,0.265783
