scenario,profile,run_index,seed,topology_initial,trigger_A_count,trigger_A_first_step,trigger_A_source,psi_weight_profile,psi_threshold
hub_3_single_hub_failure,low_stress,2,9512,hub_redundant,90,70,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,3,9513,hub_redundant,88,62,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,4,9514,hub_redundant,100,60,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,5,9515,hub_redundant,100,60,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,6,9516,hub_redundant,88,72,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,7,9517,hub_redundant,86,74,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,8,9518,hub_redundant,84,76,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,low_stress,9,9519,hub_redundant,85,75,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,0,9520,hub_redundant,108,52,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,1,9521,hub_redundant,115,45,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,2,9522,hub_redundant,115,45,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,3,9523,hub_redundant,111,49,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,4,9524,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,5,9525,hub_redundant,111,49,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,6,9526,hub_redundant,115,45,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,7,9527,hub_redundant,108,52,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,8,9528,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,mid_stress,9,9529,hub_redundant,116,44,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,0,9530,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,1,9531,hub_redundant,141,19,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,2,9532,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,3,9533,hub_redundant,139,21,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,4,9534,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,5,9535,hub_redundant,141,19,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,6,9536,hub_redundant,141,19,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,7,9537,hub_redundant,140,20,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,8,9538,hub_redundant,139,21,C04_S_THRESHOLD,,0.3
hub_3_single_hub_failure,high_stress,9,9539,hub_redundant,138,22,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,0,9540,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,1,9541,ring_mesh,72,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,2,9542,ring_mesh,74,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,3,9543,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,4,9544,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,5,9545,ring_mesh,71,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,6,9546,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,7,9547,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,8,9548,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,low_stress,9,9549,ring_mesh,73,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,0,9550,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,1,9551,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,2,9552,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,3,9553,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,4,9554,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,5,9555,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,6,9556,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,7,9557,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,8,9558,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,mid_stress,9,9559,ring_mesh,80,80,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,0,9560,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,1,9561,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,2,9562,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,3,9563,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,4,9564,ring_mesh,130,30,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,5,9565,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,6,9566,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,7,9567,ring_mesh,132,28,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,8,9568,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
topology_drift,high_stress,9,9569,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
mixed_hia_identity,low_stress,0,9570,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,1,9571,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,2,9572,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,3,9573,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,4,9574,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,5,9575,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,6,9576,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,7,9577,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,8,9578,ring_mesh,0,,,,0.3
mixed_hia_identity,low_stress,9,9579,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,0,9580,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,1,9581,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,2,9582,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,3,9583,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,4,9584,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,5,9585,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,6,9586,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,7,9587,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,8,9588,ring_mesh,0,,,,0.3
mixed_hia_identity,mid_stress,9,9589,ring_mesh,0,,,,0.3
mixed_hia_identity,high_stress,0,9590,ring_mesh,131,29,C04_S_THRESHOLD,,0.3
