batch_id,scenario,profile,run_index,seed,step,detect_step,collapse30_event_step,lead_steps,actual_topology,detected_topology,psi_extended,term_t,term_d,term_g,term_s,term_variance,term_regime,collapse_share,s_network,cluster_variance,trigger_A,trigger_A_source
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,23,19,27,8,federation,federation,0.357071,0.095209,0.025742,0.079834,0.154625,0.001659,0.0,0.066667,0.558214,0.016593,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,24,19,27,8,federation,federation,0.381227,0.102462,0.025572,0.082236,0.168943,0.002014,0.0,0.116667,0.517306,0.020143,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,25,19,27,8,federation,federation,0.400019,0.109401,0.02553,0.085144,0.177399,0.002544,0.0,0.216667,0.493145,0.025444,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,26,19,27,8,federation,federation,0.424617,0.117109,0.025557,0.088471,0.190271,0.00321,0.0,0.283333,0.45637,0.032098,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,27,19,27,8,federation,federation,0.449422,0.125782,0.025596,0.092202,0.20225,0.003591,0.0,0.35,0.422142,0.035912,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,28,19,27,8,federation,federation,0.474245,0.133134,0.0256,0.096319,0.215224,0.003967,0.0,0.416667,0.385076,0.039674,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,29,19,27,8,federation,federation,0.500877,0.140354,0.025623,0.100646,0.230008,0.004247,0.0,0.466667,0.342834,0.042467,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,30,19,27,8,federation,federation,0.521743,0.1481,0.025571,0.105095,0.238899,0.004079,0.0,0.566667,0.317432,0.040791,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,31,19,27,8,federation,federation,0.534474,0.153327,0.025405,0.109612,0.242201,0.003929,0.0,0.65,0.307997,0.039291,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,high_stress,0,9350,32,19,27,8,federation,federation,0.545751,0.157892,0.025184,0.113986,0.244995,0.003694,0.0,0.683333,0.300014,0.036942,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,75,80,99,19,federation,federation,0.25496,0.021986,0.062511,0.0,0.169946,0.000518,0.0,0.0,0.514441,0.005182,0,
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,76,80,99,19,federation,federation,0.265724,0.024081,0.063323,0.0,0.177773,0.000546,0.0,0.0,0.492077,0.00546,0,
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,77,80,99,19,federation,federation,0.275592,0.025261,0.06379,0.0,0.185871,0.000671,0.0,0.0,0.468941,0.006712,0,
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,78,80,99,19,federation,federation,0.285863,0.027255,0.063879,0.0,0.193966,0.000763,0.0,0.0,0.445812,0.007626,0,
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,79,80,99,19,federation,federation,0.296006,0.029046,0.064,0.0,0.202117,0.000842,0.0,0.0,0.422522,0.008424,0,
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,80,80,99,19,federation,federation,0.306329,0.031033,0.063864,0.0,0.210451,0.00098,0.0,0.016667,0.39871,0.009801,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,81,80,99,19,federation,federation,0.316544,0.032628,0.063689,0.0,0.219072,0.001155,0.0,0.1,0.374079,0.011551,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,82,80,99,19,federation,federation,0.327889,0.035325,0.063767,0.0,0.227578,0.001218,0.0,0.1,0.349776,0.012179,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,83,80,99,19,federation,federation,0.338462,0.036821,0.063722,0.0,0.236459,0.001459,0.0,0.116667,0.324402,0.014595,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,84,80,99,19,federation,federation,0.349967,0.039298,0.063568,0.0,0.245472,0.001629,0.0,0.116667,0.298652,0.016288,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,85,80,99,19,federation,federation,0.361389,0.041367,0.063482,0.0,0.254804,0.001736,0.0,0.116667,0.271987,0.017359,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,86,80,99,19,federation,federation,0.373091,0.043376,0.063581,0.0,0.264292,0.001842,0.0,0.116667,0.244881,0.018424,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,87,80,99,19,federation,federation,0.376873,0.044279,0.063818,0.0,0.266967,0.001809,0.0,0.116667,0.237237,0.018086,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,88,80,99,19,federation,federation,0.379693,0.046316,0.063718,0.0,0.26808,0.001578,0.0,0.116667,0.234056,0.015782,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,89,80,99,19,federation,federation,0.381103,0.046745,0.063654,0.0,0.269184,0.00152,0.0,0.133333,0.230904,0.015204,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,90,80,99,19,federation,federation,0.383573,0.048274,0.063629,0.0,0.270279,0.001391,0.0,0.183333,0.227775,0.013906,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,91,80,99,19,federation,federation,0.385788,0.049404,0.063833,0.0,0.271367,0.001184,0.0,0.183333,0.224666,0.01184,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,92,80,99,19,federation,federation,0.388502,0.050738,0.06419,0.0,0.272449,0.001126,0.0,0.216667,0.221574,0.011256,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,93,80,99,19,federation,federation,0.390898,0.051444,0.064886,0.0,0.273526,0.001042,0.0,0.216667,0.218496,0.010422,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,94,80,99,19,federation,federation,0.393953,0.053536,0.06495,0.0,0.2746,0.000867,0.0,0.216667,0.21543,0.008669,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,95,80,99,19,federation,federation,0.395441,0.054007,0.064934,0.0,0.275669,0.000831,0.0,0.216667,0.212374,0.008307,1,C07_PSI_EXTENDED
grand_sim_v0_5,federation_cluster_attack,low_stress,0,9330,96,80,99,19,federation,federation,0.397735,0.055632,0.064644,0.0,0.27665,0.00081,0.0,0.233333,0.209572,0.008098,1,C07_PSI_EXTENDED
