run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
14,55,federation,500,True,True,0.941,1.0,1.0,17,18,0.75,0.25,4,1,0.2,0.787,0.727,6,6,1.0,93.333,70,0.391,0.319,0.391,100,0,,False,True,0.0,none,0,0,0
15,56,federation,500,True,True,0.948,1.0,1.0,20,21,0.71,0.2,5,1,0.2,0.803,0.755,6,6,1.0,91.667,81,0.416,0.353,0.416,100,0,,False,True,0.0,none,0,0,0
16,57,federation,500,True,True,0.969,1.0,1.0,16,17,0.768,0.0,2,0,0.2,0.878,0.824,6,6,1.0,90.0,62,0.481,0.395,0.481,100,0,,False,True,0.0,none,0,0,0
17,58,federation,500,True,True,0.928,1.0,1.0,25,26,0.648,0.333,6,2,0.2,0.793,0.739,6,6,1.0,90.0,107,0.374,0.3,0.374,100,0,,False,True,0.0,none,0,0,0
18,59,federation,500,True,True,0.946,1.0,1.0,17,18,0.75,0.0,3,0,0.2,0.816,0.754,6,6,1.0,93.333,80,0.438,0.349,0.438,100,0,,False,True,0.0,none,0,0,0
19,60,federation,500,True,True,0.97,1.0,1.0,20,21,0.71,0.0,1,0,0.2,0.876,0.823,6,6,1.0,90.0,89,0.456,0.369,0.456,100,0,,False,True,0.0,none,0,0,0
20,61,federation,500,True,True,0.938,1.0,1.0,19,20,0.729,0.333,3,1,0.2,0.771,0.714,6,6,1.0,90.0,89,0.4,0.329,0.4,100,0,,False,True,0.0,none,0,0,0
21,62,federation,500,True,True,0.961,1.0,1.0,19,20,0.716,0.6,5,3,0.2,0.817,0.756,6,6,1.0,90.0,79,0.401,0.332,0.401,100,0,,False,True,0.0,none,0,0,0
22,63,federation,500,True,True,0.958,1.0,1.0,17,18,0.735,0.0,2,0,0.2,0.814,0.751,6,6,1.0,90.0,68,0.428,0.344,0.428,100,0,,False,True,0.0,none,0,0,0
23,64,federation,500,True,True,0.968,1.0,1.0,22,23,0.694,0.333,6,2,0.2,0.847,0.792,6,6,1.0,90.0,89,0.407,0.33,0.407,100,0,,False,True,0.0,none,0,0,0
24,65,federation,500,True,True,0.913,1.0,1.0,14,16,0.779,0.0,3,0,0.2,0.734,0.679,6,6,1.0,90.0,68,0.432,0.349,0.432,100,0,,False,True,0.0,none,0,0,0
25,66,federation,500,True,True,0.97,1.0,1.0,14,16,0.783,0.25,4,1,0.2,0.853,0.782,6,6,1.0,90.0,73,0.44,0.346,0.44,100,0,,False,True,0.0,none,0,0,0
26,67,federation,500,True,True,0.947,1.0,1.0,18,19,0.727,0.4,5,2,0.2,0.753,0.691,6,6,1.0,90.0,69,0.377,0.309,0.377,100,0,,False,True,0.0,none,0,0,0
27,68,federation,500,True,True,0.957,1.0,1.0,19,20,0.725,0.2,5,1,0.2,0.828,0.772,6,6,1.0,93.333,83,0.437,0.355,0.437,100,0,,False,True,0.0,none,0,0,0
28,69,federation,500,True,True,0.927,1.0,1.0,29,30,0.536,0.5,10,5,0.2,0.765,0.721,6,6,1.0,90.0,106,0.378,0.304,0.378,100,0,,False,True,0.0,none,0,0,0
29,70,federation,500,True,True,0.96,1.0,1.0,20,21,0.683,0.0,5,0,0.2,0.808,0.752,6,6,1.0,91.667,96,0.419,0.349,0.419,100,0,,False,True,0.0,none,0,0,0
30,71,federation,500,True,True,0.933,1.0,1.0,15,16,0.773,0.0,2,0,0.2,0.772,0.721,6,6,1.0,90.0,71,0.44,0.357,0.44,100,0,,False,True,0.0,none,0,0,0
31,72,federation,500,True,True,0.964,1.0,1.0,13,14,0.814,0.0,1,0,0.2,0.847,0.779,6,6,1.0,90.0,63,0.47,0.379,0.47,100,0,,False,True,0.0,none,0,0,0
32,73,federation,500,True,True,0.966,1.0,1.0,25,25,0.591,0.0,1,0,0.2,0.877,0.835,6,6,1.0,91.667,92,0.43,0.346,0.43,100,0,,False,True,0.0,none,0,0,0
33,74,federation,500,True,True,0.943,1.0,1.0,19,20,0.725,0.0,6,0,0.2,0.792,0.748,6,6,1.0,90.0,90,0.435,0.361,0.435,100,0,,False,True,0.0,none,0,0,0
34,75,federation,500,True,True,0.956,1.0,1.0,24,25,0.652,0.444,9,4,0.2,0.808,0.748,6,6,1.0,90.0,97,0.36,0.292,0.36,100,0,,False,True,0.0,none,0,0,0
35,76,federation,500,True,True,0.967,1.0,1.0,19,20,0.698,0.0,1,0,0.2,0.863,0.802,6,6,1.0,90.0,79,0.42,0.336,0.42,100,0,,False,True,0.0,none,0,0,0
