run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
74,115,scale-free,500,True,True,0.933,1.0,1.0,32,9,0.864,0.429,7,3,0.1,0.728,0.626,6,6,1.0,0.348,90.0,96,0.32,0.232,0.32,100,0,,,0,False,True,0.0,none,0,0,0
75,116,scale-free,500,True,True,0.899,1.0,1.0,37,12,0.703,0.375,8,3,0.1,0.67,0.588,6,6,1.0,0.278,90.0,96,0.282,0.205,0.282,100,0,,,0,False,True,0.0,none,0,0,0
76,117,scale-free,500,True,True,0.945,1.0,1.0,33,11,0.836,0.5,12,6,0.1,0.778,0.675,6,6,1.0,0.361,90.0,97,0.333,0.243,0.333,100,0,,,0,False,True,0.0,none,0,0,0
77,118,scale-free,500,True,True,0.937,1.0,1.0,32,10,0.8,0.0,3,0,0.1,0.716,0.611,6,6,1.0,0.333,91.667,96,0.336,0.244,0.336,100,0,,,0,False,True,0.0,none,0,0,0
78,119,scale-free,500,True,True,0.942,1.0,1.0,38,13,0.789,0.5,10,5,0.1,0.756,0.659,6,6,1.0,0.413,90.0,104,0.289,0.203,0.289,100,0,,,0,False,True,0.0,none,0,0,0
79,120,scale-free,500,True,True,0.928,1.0,1.0,38,10,0.853,0.182,11,2,0.1,0.749,0.65,6,6,1.0,0.429,90.0,108,0.314,0.221,0.314,100,0,,,0,False,True,0.0,none,0,0,0
80,121,scale-free,500,True,True,0.67,1.0,1.0,50,51,0.182,0.679,28,19,0.1,0.504,0.494,6,6,1.0,0.0,90.0,116,0.204,0.146,0.204,100,0,,,0,False,True,0.0,none,0,0,0
81,122,scale-free,500,True,True,0.914,1.0,1.0,41,12,0.812,0.5,14,7,0.1,0.745,0.66,6,6,1.0,0.352,90.0,108,0.267,0.19,0.267,100,0,,,0,False,True,0.0,none,0,0,0
82,123,scale-free,500,True,True,0.953,1.0,1.0,38,14,0.779,0.5,12,6,0.1,0.777,0.685,6,6,1.0,0.327,91.667,102,0.312,0.226,0.312,100,0,,,0,False,True,0.0,none,0,0,0
83,124,scale-free,500,True,True,0.922,1.0,1.0,43,13,0.758,0.429,7,3,0.1,0.72,0.622,6,6,1.0,0.361,90.0,108,0.305,0.211,0.305,100,0,,,0,False,True,0.0,none,0,0,0
84,125,scale-free,500,True,True,0.932,1.0,1.0,44,14,0.773,0.364,11,4,0.1,0.749,0.655,6,6,1.0,0.355,90.0,112,0.274,0.185,0.274,100,0,,,0,False,True,0.0,none,0,0,0
