run_index,seed,topology,survival_checkpoint_year,survived_500_year_mark,survived_final_year,final_governance_stability,final_human_control_index,minimum_human_control_index,fragmentation_count,final_connected_components,largest_component_ratio,contagion_containment,contagion_initial_failures,contagion_secondary_failures,trust_memory_decay,final_cooperation,final_trust_memory,final_infiltrator_count,final_isolated_infiltrator_count,adversary_isolation_rate,reconnection_rate,time_to_isolation,defense_edge_cuts,minimum_cooperation,minimum_trust_memory,post_betrayal_min_cooperation,first_cooperation_collapse_year,time_to_collapse,recovery_year,time_to_recovery,recovered_network_size,recovered_within_window,collapsed,peak_governance_backlog,dominant_defense_action,proposal_quota_count,ai_legislative_processors_count,foundational_veto_count
11,52,random,500,False,False,0.058,1.0,1.0,66,66,0.03,0.806,62,50,0.0,0.001,0.007,6,6,1.0,0.0,90.0,172,0.0,0.007,0.0,100,0,,,0,False,True,0.0,none,0,0,0
12,53,random,500,False,False,0.059,1.0,1.0,66,66,0.015,0.839,62,52,0.0,0.0,0.005,6,6,1.0,0.0,90.0,200,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
13,54,random,500,False,False,0.06,1.0,1.0,65,64,0.031,0.852,61,52,0.0,0.0,0.005,6,6,1.0,0.0,90.0,179,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
14,55,random,500,False,False,0.065,1.0,1.0,68,69,0.014,0.873,63,55,0.0,0.001,0.008,6,6,1.0,0.0,90.0,160,0.001,0.008,0.001,100,0,,,0,False,True,0.0,none,0,0,0
15,56,random,500,False,False,0.057,1.0,1.0,67,68,0.015,0.871,62,54,0.0,0.0,0.003,6,6,1.0,0.0,90.0,214,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
16,57,random,500,False,False,0.059,1.0,1.0,66,65,0.03,0.903,62,56,0.0,0.0,0.003,6,6,1.0,0.0,90.0,205,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
17,58,random,500,False,False,0.059,1.0,1.0,66,66,0.015,0.836,61,51,0.0,0.0,0.001,6,6,1.0,0.0,90.0,193,0.0,0.001,0.0,100,0,,,0,False,True,0.0,none,0,0,0
18,59,random,500,False,False,0.057,1.0,1.0,69,69,0.014,0.891,64,57,0.0,0.0,0.009,6,6,1.0,0.0,90.0,182,0.0,0.009,0.0,100,0,,,0,False,True,0.0,none,0,0,0
19,60,random,500,False,False,0.057,1.0,1.0,67,68,0.015,0.919,62,57,0.0,0.0,0.009,6,6,1.0,0.0,90.0,199,0.0,0.009,0.0,100,0,,,0,False,True,0.0,none,0,0,0
20,61,random,500,False,False,0.057,1.0,1.0,68,68,0.015,0.857,63,54,0.0,0.0,0.002,6,6,1.0,0.0,103.333,214,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
21,62,random,500,False,False,0.063,1.0,1.0,65,65,0.015,0.836,61,51,0.0,0.0,0.005,6,6,1.0,0.0,90.0,190,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
22,63,random,500,False,False,0.06,1.0,1.0,64,65,0.015,0.85,60,51,0.0,0.0,0.002,6,6,1.0,0.0,90.0,199,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
23,64,random,500,False,False,0.057,1.0,1.0,68,68,0.015,0.841,63,53,0.0,0.0,0.004,6,6,1.0,0.0,90.0,202,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
24,65,random,500,False,False,0.058,1.0,1.0,65,66,0.044,0.887,62,55,0.0,0.01,0.008,6,6,1.0,0.0,90.0,220,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
25,66,random,500,False,False,0.059,1.0,1.0,66,66,0.015,0.82,61,50,0.0,0.0,0.003,6,6,1.0,0.0,90.0,202,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
26,67,random,500,False,False,0.059,1.0,1.0,65,66,0.03,0.82,61,50,0.0,0.009,0.01,6,6,1.0,0.0,90.0,179,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
27,68,random,500,False,False,0.056,1.0,1.0,69,69,0.029,0.803,66,53,0.0,0.001,0.003,6,6,1.0,0.0,90.0,208,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
28,69,random,500,False,False,0.059,1.0,1.0,66,66,0.015,0.869,61,53,0.0,0.0,0.003,6,6,1.0,0.0,90.0,178,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
29,70,random,500,False,False,0.068,1.0,1.0,65,65,0.015,0.9,60,54,0.0,0.0,0.004,6,6,1.0,0.0,90.0,201,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
30,71,random,500,False,False,0.057,1.0,1.0,68,68,0.015,0.921,63,58,0.0,0.0,0.004,6,6,1.0,0.0,90.0,187,0.0,0.004,0.0,100,0,,,0,False,True,0.0,none,0,0,0
31,72,random,500,False,False,0.06,1.0,1.0,65,65,0.015,0.9,60,54,0.0,0.0,0.003,6,6,1.0,0.0,90.0,194,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
32,73,random,500,False,False,0.06,1.0,1.0,63,64,0.031,0.82,61,50,0.0,0.0,0.005,6,6,1.0,0.0,90.0,182,0.0,0.005,0.0,100,0,,,0,False,True,0.0,none,0,0,0
33,74,random,500,False,False,0.057,1.0,1.0,68,69,0.014,0.873,63,55,0.0,0.0,0.006,6,6,1.0,0.0,90.0,176,0.0,0.006,0.0,100,0,,,0,False,True,0.0,none,0,0,0
34,75,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.869,61,53,0.0,0.0,0.002,6,6,1.0,0.0,90.0,203,0.0,0.002,0.0,100,0,,,0,False,True,0.0,none,0,0,0
35,76,random,500,False,False,0.058,1.0,1.0,66,67,0.015,0.852,61,52,0.0,0.0,0.003,6,6,1.0,0.0,90.0,213,0.0,0.003,0.0,100,0,,,0,False,True,0.0,none,0,0,0
36,77,random,500,False,False,0.062,1.0,1.0,63,62,0.032,0.85,60,51,0.0,0.004,0.002,6,6,1.0,0.0,90.0,186,0.0,0.001,0.0,100,0,,,0,False,True,0.0,none,0,0,0
37,78,random,500,False,False,0.055,1.0,1.0,70,70,0.028,0.818,66,54,0.0,0.0,0.01,6,6,1.0,0.0,90.0,218,0.0,0.01,0.0,100,0,,,0,False,True,0.0,none,0,0,0
