batch_id,weight_profile,psi_lambda,psi_lambda_locked,psi_threshold,positive_runs,negative_runs,detected_true_positive_rate,on_time_true_positive_rate,missed_detection_rate,false_positive_rate,avg_lead_steps,avg_lag_steps,accepted_candidate,recommended_locked_candidate
grand_sim_v0_3,trust_stability,0.1,1,0.56,80,40,0.5,0.25,0.5,0.0,0.5,1.05,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.58,80,40,0.5,0.125,0.5,0.0,0.1,1.166667,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.6,80,40,0.5,0.05,0.5,0.0,0.0,1.25,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.62,80,40,0.5,0.0125,0.5,0.0,0.0,1.666667,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.64,80,40,0.5,0.0,0.5,0.0,0.0,2.125,0,0
grand_sim_v0_3,trust_stability,0.1,1,0.66,80,40,0.5,0.0,0.5,0.0,0.0,3.025,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.3,80,40,1.0,1.0,0.0,0.0,11.35,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.32,80,40,1.0,1.0,0.0,0.0,9.9375,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.34,80,40,1.0,1.0,0.0,0.0,8.7,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.36,80,40,1.0,1.0,0.0,0.0,7.55,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.38,80,40,1.0,1.0,0.0,0.0,6.1625,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.4,80,40,1.0,1.0,0.0,0.0,4.85,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.42,80,40,1.0,1.0,0.0,0.0,4.2875,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.44,80,40,1.0,1.0,0.0,0.0,3.3375,0.0,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.46,80,40,1.0,0.7625,0.0,0.0,1.229508,3.263158,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.48,80,40,0.875,0.5,0.125,0.0,1.55,9.133333,0,0
grand_sim_v0_3,trust_stability,0.2,0,0.5,80,40,0.75,0.5,0.25,0.0,1.35,8.9,0,0
